timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-8.44,-1.00,-1.23,104.68,17.21,-10.19
10,-8.44,-1.00,-1.23,104.68,17.21,-10.19
20,-8.44,-1.00,-1.23,104.68,17.21,-10.19
30,-8.44,-1.00,-1.23,104.68,17.21,-10.19
40,-8.44,-1.00,-1.23,104.68,17.21,-10.19
50,-8.44,-1.00,-1.23,104.68,17.21,-10.19
60,-8.44,-1.00,-1.23,104.68,17.21,-10.19
70,-8.44,-1.00,-1.23,104.68,17.21,-10.19
80,-8.44,-1.00,-1.23,104.68,17.21,-10.19
90,-8.44,-1.00,-1.23,104.68,17.21,-10.19
100,-8.44,-1.00,-1.23,104.68,17.21,-10.19
110,-8.44,-1.00,-1.23,104.68,17.21,-10.19
120,-8.44,-1.00,-1.23,104.68,17.21,-10.19
130,-8.44,-1.00,-1.23,104.68,17.21,-10.19
141,-8.44,-1.00,-1.23,104.68,17.21,-10.19
151,-8.44,-1.00,-1.23,104.68,17.21,-10.19
161,-8.44,-1.00,-1.23,104.68,17.21,-10.19
171,-8.44,-1.00,-1.23,104.68,17.21,-10.19
181,-8.44,-1.00,-1.23,104.68,17.21,-10.19
191,-8.44,-1.00,-1.23,104.68,17.21,-10.19
201,-8.44,-1.00,-1.23,104.68,17.21,-10.19
211,-8.44,-1.00,-1.23,104.68,17.21,-10.19
221,-8.44,-1.00,-1.23,104.68,17.21,-10.19
231,-8.44,-1.00,-1.23,104.68,17.21,-10.19
241,-8.44,-1.00,-1.23,104.68,17.21,-10.19
251,-8.44,-1.00,-1.23,104.68,17.21,-10.19
261,-8.44,-1.00,-1.23,104.68,17.21,-10.19
271,-8.44,-1.00,-1.23,104.68,17.21,-10.19
281,-8.44,-1.00,-1.23,104.68,17.21,-10.19
291,-8.44,-1.00,-1.23,104.68,17.21,-10.19
301,-8.44,-1.00,-1.23,104.68,17.21,-10.19
312,-8.44,-1.00,-1.23,104.68,17.21,-10.19
322,-8.44,-1.00,-1.23,104.68,17.21,-10.19
332,-8.44,-1.00,-1.23,104.68,17.21,-10.19
342,-8.44,-1.00,-1.23,104.68,17.21,-10.19
352,-8.44,-1.00,-1.23,104.68,17.21,-10.19
362,-8.44,-1.00,-1.23,104.68,17.21,-10.19
372,-8.44,-1.00,-1.23,104.68,17.21,-10.19
382,-8.44,-1.00,-1.23,104.68,17.21,-10.19
392,-8.44,-1.00,-1.23,104.68,17.21,-10.19
402,-8.44,-1.00,-1.23,104.68,17.21,-10.19
412,-8.44,-1.00,-1.23,104.68,17.21,-10.19
422,-8.44,-1.00,-1.23,104.68,17.21,-10.19
432,-8.44,-1.00,-1.23,104.68,17.21,-10.19
442,-8.44,-1.00,-1.23,104.68,17.21,-10.19
452,-8.44,-1.00,-1.23,104.68,17.21,-10.19
462,-8.44,-1.00,-1.23,104.68,17.21,-10.19
472,-8.44,-1.00,-1.23,104.68,17.21,-10.19
482,-8.44,-1.00,-1.23,104.68,17.21,-10.19
492,-8.44,-1.00,-1.23,104.68,17.21,-10.19
502,-8.44,-1.00,-1.23,104.68,17.21,-10.19
512,-8.44,-1.00,-1.23,104.68,17.21,-10.19
522,-8.44,-1.00,-1.23,104.68,17.21,-10.19
532,-8.44,-1.00,-1.23,104.68,17.21,-10.19
542,-8.44,-1.00,-1.23,104.68,17.21,-10.19
552,-8.44,-1.00,-1.23,104.68,17.21,-10.19
562,-8.44,-1.00,-1.23,104.68,17.21,-10.19
572,-8.44,-1.00,-1.23,104.68,17.21,-10.19
582,-8.44,-1.00,-1.23,104.68,17.21,-10.19
592,-8.44,-1.00,-1.23,104.68,17.21,-10.19
602,-8.44,-1.00,-1.23,104.68,17.21,-10.19
612,-8.44,-1.00,-1.23,104.68,17.21,-10.19
622,-8.44,-1.00,-1.23,104.68,17.21,-10.19
632,-8.44,-1.00,-1.23,104.68,17.21,-10.19
642,-8.44,-1.00,-1.23,104.68,17.21,-10.19
653,-8.44,-1.00,-1.23,104.68,17.21,-10.19
663,-8.44,-1.00,-1.23,104.68,17.21,-10.19
673,-8.44,-1.00,-1.23,104.68,17.21,-10.19
683,-8.44,-1.00,-1.23,104.68,17.21,-10.19
693,-8.44,-1.00,-1.23,104.68,17.21,-10.19
703,-8.44,-1.00,-1.23,104.68,17.21,-10.19
713,-8.44,-1.00,-1.23,104.68,17.21,-10.19
723,-8.44,-1.00,-1.23,104.68,17.21,-10.19
733,-8.44,-1.00,-1.23,104.68,17.21,-10.19
743,-8.44,-1.00,-1.23,104.68,17.21,-10.19
753,-8.44,-1.00,-1.23,104.68,17.21,-10.19
763,-8.44,-1.00,-1.23,104.68,17.21,-10.19
773,-8.44,-1.00,-1.23,104.68,17.21,-10.19
783,-8.44,-1.00,-1.23,104.68,17.21,-10.19
793,-8.44,-1.00,-1.23,104.68,17.21,-10.19
803,-8.44,-1.00,-1.23,104.68,17.21,-10.19
813,-8.44,-1.00,-1.23,104.68,17.21,-10.19
824,-8.44,-1.00,-1.23,104.68,17.21,-10.19
834,-8.44,-1.00,-1.23,104.68,17.21,-10.19
844,-8.44,-1.00,-1.23,104.68,17.21,-10.19
854,-8.44,-1.00,-1.23,104.68,17.21,-10.19
864,-8.44,-1.00,-1.23,104.68,17.21,-10.19
874,-8.44,-1.00,-1.23,104.68,17.21,-10.19
884,-8.44,-1.00,-1.23,104.68,17.21,-10.19
894,-8.44,-1.00,-1.23,104.68,17.21,-10.19
904,-8.44,-1.00,-1.23,104.68,17.21,-10.19
914,-8.44,-1.00,-1.23,104.68,17.21,-10.19
924,-8.44,-1.00,-1.23,104.68,17.21,-10.19
934,-8.44,-1.00,-1.23,104.68,17.21,-10.19
944,-8.44,-1.00,-1.23,104.68,17.21,-10.19
954,-8.44,-1.00,-1.23,104.68,17.21,-10.19
964,-8.44,-1.00,-1.23,104.68,17.21,-10.19
974,-8.44,-1.00,-1.23,104.68,17.21,-10.19
984,-8.44,-1.00,-1.23,104.68,17.21,-10.19
994,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1004,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1014,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1024,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1034,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1044,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1054,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1064,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1074,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1084,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1094,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1104,-8.44,-1.00,-1.23,104.68,17.21,-10.19
1114,-8.44,-1.00,-1.23,104.68,17.21,-10.19
